time,country_name,adolescent_fertility_rate,life_expectancy,mortality_rate,GDP_per_capita,C02_emissions,health_expend_per_capita,electric_power_consumption,oop_expend_per_capita,net_income_per_capita
2014,Grenada,32.8856,72.503,10.5,8370.04047206067,2.29568411386593,622.54486084,0,323.04753453,0
2014,Guam,35.904,78.895,0,34843.2055749129,0,0,0,0,0
2014,Guatemala,75.5146,72.935,13.9,3779.64233613025,0.911388462727746,439.16339111,601.189731088787,243.97932858,3189.45784470447
2014,Guinea,141.6414,59.016,32.4,787.238564407157,0.200879386236062,86.40129089,0,50.42314588,617.57543950795
2014,Guinea-Bissau,106.6092,56.556,40.2,623.313091387687,0.159533648143729,147.85882568,0,81.89677282,490.89787372867
2014,Guyana,79.59,69.049,20.8,5407.14736611728,2.69855672114809,432.32339478,0,155.43600302,4799.65784415375
2014,Haiti,55.21,62.069,27.5,1435.13647023104,0.286282868228878,134.05033875,39.0558087600094,41.57613357,1367.7133140797
2014,Honduras,77.2212,74.278,10.9,2206.05439745471,1.05632478236717,352.40264893,619.837087026981,171.5770444,1892.64604653659
2014,"Hong0Kong0SAR,0China",2.8946,83.9804878048781,0,40315.2855640552,0,0,6083.2699356802,0,0
2014,Hungary,21.7806,75.7634146341463,2.9,14298.833667395,4.11798842991385,1808.3972168,3965.95823348335,512.87788778,11220.619363507
2014,Iceland,8.1236,82.8609756097561,1.2,54576.7448146565,6.26172149180564,3771.12475586,53832.4790919587,678.0585056,43168.2348136783
2014,India,22.102,68.286,27,1573.88564182956,1.65723127096964,189.44381714,804.5163492833,126.95387317,1367.7061573475
2014,Indonesia,49.2346,70.481,14.8,3491.63749125449,1.89673363766561,304.6796875,811.909858168648,137.85930134,2626.13634183417
2014,"Iran,0Islamic0Rep.",36.9966,75.502,10.4,5943.04810717544,7.81441898015545,1029.78173828,3022.12193878822,434.51095977,4406.91643896593
2014,Iraq,76.389,69.7,17.5,6637.68437454551,3.89515843133828,398.98904419,1328.23049342541,246.72345536,5106.86559316937
2014,Ireland,9.4728,81.3487804878049,2.5,55599.850799684,7.62816275260038,4898.44287109,5672.06413410796,700.95728708,38481.2090017156
2014,Isle0of0Man,0,0,0,92334.6463139171,0,0,0,0,0
